1.475e+11,0;0,0
1.47252e+11,1.48917e+07;746.809,0.02525
1.46512e+11,2.97335e+07;2981.64,0.201282
1.4528e+11,4.44757e+07;6696.67,0.678007
1.43562e+11,5.9069e+07;11878.9,1.6042
1.41364e+11,7.34647e+07;18510.4,3.12695
1.38693e+11,8.76146e+07;26567.9,5.39111
1.35558e+11,1.01472e+08;36023.5,8.53877
1.31971e+11,1.1499e+08;46844.4,12.7087
1.27943e+11,1.28125e+08;58993.2,18.0361
1.2349e+11,1.40833e+08;72428.1,24.6516
1.18625e+11,1.53072e+08;87102.9,32.6815
1.13365e+11,1.64802e+08;102967,42.2468
1.0773e+11,1.75985e+08;119967,53.4633
1.01737e+11,1.86584e+08;138045,66.4407
9.54064e+10,1.96565e+08;157139,81.2829
8.87607e+10,2.05896e+08;177186,98.087
8.18216e+10,2.14546e+08;198117,116.944
7.46125e+10,2.22489e+08;219862,137.937
6.71574e+10,2.29697e+08;242350,161.143
5.9481e+10,2.36149e+08;265505,186.631
5.1609e+10,2.41825e+08;289249,214.463
4.35673e+10,2.46705e+08;313506,244.694
3.53824e+10,2.50775e+08;338194,277.369
2.70815e+10,2.54021e+08;363232,312.528
1.86916e+10,2.56434e+08;388539,350.201
1.02404e+10,2.58006e+08;414030,390.412
1.75572e+09,2.58732e+08;439622,433.175
-6.7361e+09,2.3516e+08;465235,549.412
-1.52043e+10,2.04707e+08;490777,686.228
-2.36223e+10,1.73577e+08;516167,825.085
-3.19619e+10,1.41872e+08;541321,965.677
-4.01951e+10,1.09694e+08;566153,1107.69
-4.82942e+10,7.71507e+07;590581,1250.81
-5.62317e+10,4.43493e+07;614521,1394.71
-6.3981e+10,1.13995e+07;637894,1539.05
-7.1516e+10,-2.15886e+07;660619,1683.51
-7.88115e+10,-5.45043e+07;682622,1827.75
-8.58431e+10,-8.72377e+07;703829,1971.44
-9.2588e+10,-1.19679e+08;724171,2114.25
-9.9024e+10,-1.51722e+08;743581,2255.85
-1.05131e+11,-1.83261e+08;761998,2395.94
-1.10889e+11,-2.14192e+08;779363,2534.19
-1.16282e+11,-2.44416e+08;795625,2670.3
-1.21292e+11,-2.73837e+08;810734,2804
-1.25906e+11,-3.02363e+08;824646,2934.99
-1.3011e+11,-3.29905e+08;837323,3063.01
-1.33893e+11,-3.5638e+08;848730,3187.82
-1.37246e+11,-3.81709e+08;858838,3309.17
-1.4016e+11,-4.05817e+08;867622,3426.83
-1.42628e+11,-4.28636e+08;875063,3540.6
-1.44646e+11,-4.501e+08;881143,3650.29
-1.46209e+11,-4.70151e+08;885854,3755.72
-1.47316e+11,-4.88733e+08;889186,3856.71
-1.47965e+11,-5.05798e+08;891139,3953.12
-1.48157e+11,-5.21299e+08;891712,4044.82
-1.47894e+11,-5.35198e+08;890912,4131.69
-1.47177e+11,-5.47459e+08;888745,4213.61
-1.46012e+11,-5.58051e+08;885226,4290.5
-1.44404e+11,-5.66948e+08;880368,4362.27
-1.42358e+11,-5.74127e+08;874191,4428.87
-1.39882e+11,-5.79573e+08;866717,4490.23
-1.36985e+11,-5.83271e+08;857971,4546.32
-1.33675e+11,-5.85212e+08;847981,4597.12
-1.29963e+11,-5.85393e+08;836777,4642.6
-1.25859e+11,-5.83812e+08;824393,4682.77
-1.21377e+11,-5.80473e+08;810867,4717.63
-1.16529e+11,-5.75385e+08;796237,4747.22
-1.11329e+11,-5.6856e+08;780546,4771.57
-1.05792e+11,-5.60014e+08;763838,4790.72
-9.9934e+10,-5.49767e+08;746162,4804.75
-9.37715e+10,-5.37846e+08;727568,4813.73
-8.73223e+10,-5.2428e+08;708109,4817.74
-8.06049e+10,-5.09104e+08;687840,4816.9
-7.36387e+10,-4.92357e+08;666822,4811.32
-6.64441e+10,-4.74082e+08;645114,4801.13
-5.90422e+10,-4.54328e+08;622781,4786.48
-5.14551e+10,-4.33148e+08;599890,4767.52
-4.37056e+10,-4.10602e+08;576509,4744.45
-3.58174e+10,-3.86753e+08;552710,4717.45
-2.78149e+10,-3.61668e+08;528566,4686.72
-1.9723e+10,-3.35422e+08;504153,4652.48
-1.15674e+10,-3.08092e+08;479547,4614.98
-3.37423e+09,-2.7976e+08;454829,4574.46
4.83128e+09,-2.33135e+08;430073,4478.57
1.30193e+10,-1.73607e+08;405370,4343.94
2.11642e+10,-1.13504e+08;380798,4207.58
2.92384e+10,-5.3022e+07;356439,4070.08
3.72148e+10,7.63732e+06;332375,3932.04
4.50665e+10,6.82711e+07;308688,3794.08
5.27676e+10,1.28677e+08;285455,3656.81
6.02928e+10,1.88654e+08;262752,3520.83
6.76184e+10,2.48006e+08;240652,3386.74
7.47221e+10,3.06545e+08;219222,3255.11
8.15829e+10,3.64087e+08;198524,3126.48
8.81819e+10,4.20462e+08;178616,3001.38
9.45017e+10,4.75505e+08;159551,2880.29
1.00527e+11,5.29066e+08;141374,2763.67
1.06244e+11,5.81006e+08;124127,2651.95
1.11641e+11,6.31195e+08;107846,2545.51
